country,region,LifeLadder,change7,forn_ladder,local_ladder,SE_life,LnGDPpc ,GDPpc,LifeExp,SocSupp,SEsoc,LifeChoice,SEChoice,Generosity,SEGen,Corruption,SECorr,OECD,Power
India,South Asia,4.189812183,-0.697626114,4.548900127,4.608742237,0.024141006,8.713383675,6083.793457,59.25737381,0.610865712,0.006345681,0.827820241,0.004975433,0.246470809,0.005674557,0.774644315,0.005014344,0,1
Indonesia,Southeast Asia,5.092578411,-0.160397053,,,0.05162349,9.284377098,10768.46387,60.43648911,0.801868558,0.008482196,0.826849282,0.008465276,0.775615573,0.009147878,0.914106369,0.005686713,0,0
Iran,Middle East and North Africa,4.706562042,-0.422426224,,,0.059085917,9.796599388,17972.52344,65.73571777,0.620776892,0.011442707,0.76056242,0.010049366,0.50422281,0.011583741,0.70802772,0.01080409,0,1
Iraq,Middle East and North Africa,4.455639362,-0.39887619,5.003437042,4.678259373,0.074569792,9.640294075,15371.86328,60.8644371,0.702425718,0.011297168,0.629619598,0.01149765,0.27883327,0.010306283,0.772016346,0.008954649,0,0
Ireland,Western Europe,6.977095127,-0.362651825,6.915608406,7.103918076,0.039576139,11.04609489,62698.63281,71.57515717,0.952267706,0.004406692,0.890615284,0.007052167,0.63651377,0.010392197,0.382129222,0.009532914,1,0
Israel,Middle East and North Africa,7.189998627,-0.134412766,6.921092033,7.34826231,0.03414413,10.39169025,32587.70117,71.95492554,0.891086698,0.006563457,0.764510691,0.008767616,0.516909897,0.010035855,0.795871079,0.007626375,1,1
Italy,Western Europe,6.000355244,-0.488899708,5.959637642,6.213463306,0.041973133,10.4569397,34784.9375,73.7829361,0.918766439,0.006198696,0.610554516,0.010879291,0.326457053,0.010257415,0.894133627,0.005877438,1,1
Ivory Coast,Sub-Saharan Africa,4.671208858,0.474027157,3.908273458,4.266478539,0.055493787,8.133846283,3407.88208,46.52259064,0.661694646,0.010683469,0.766587436,0.009362756,0.160901174,0.008282563,0.756601632,0.009359044,0,0
Jamaica,Latin America and Caribbean,5.889759064,,,,0.120590433,9.025864601,8315.400391,65.81879425,0.915701866,0.014498503,0.858068526,0.018372944,0.156673923,0.01886693,0.888890028,0.013958735,0,0
Japan,East Asia,5.915034294,-0.011728764,6.456605434,6.024634361,0.041694153,10.55351734,38311.95703,75.08824158,0.902810693,0.006536127,0.839335978,0.008861094,0.245056108,0.00945269,0.670361459,0.01001633,1,1
Jordan,Middle East and North Africa,5.160702229,-0.453327179,5.345477581,5.471182346,0.055497285,9.035596848,8396.723633,64.29178619,0.822467089,0.008122144,0.767685294,0.00897372,0.206455469,0.008266211,,,0,0
Kazakhstan,Commonwealth of Independent States,5.790053368,0.197290897,5.342187881,5.781804085,0.041203886,10.06666183,23544.83594,63.86494446,0.925234258,0.005571073,0.755724132,0.009286984,0.314800054,0.009802799,0.723837793,0.009999388,0,0
Kenya,Sub-Saharan Africa,4.409707069,0.276046276,4.167451859,4.310161114,0.052858699,7.980463028,2923.284424,58.29691315,0.73378247,0.010018023,0.797864199,0.00892233,0.46963051,0.011122568,0.844873846,0.006915374,0,0
Kosovo,Central and Eastern Europe,5.662148952,0.135727882,5.725991249,5.510156155,0.048299089,9.14228344,9342.073242,,0.808084726,0.008170252,0.751152515,0.00899379,0.429290354,0.010217227,0.904268086,0.005421029,0,0
Kuwait,Middle East and North Africa,6.083386898,-0.608523369,6.207342148,6.517626286,0.044510245,11.13002491,68188.07031,65.24454498,0.837385178,0.007061781,0.840411305,0.006779125,0.425504118,0.009389356,,,0,0
Kyrgyzstan,Commonwealth of Independent States,5.130754471,0.196397305,4.749580383,5.073620319,0.043855712,8.097990036,3287.853027,62.68017578,0.884335458,0.007020872,0.828307033,0.008586165,0.368075967,0.010759871,0.882819533,0.006843862,0,0
Laos,Southeast Asia,4.623140812,-0.420958042,,,0.076725073,8.708567619,6054.563965,57.8695755,0.727889597,0.018256743,0.900917172,0.01265166,0.371115685,0.019328518,0.626053154,0.022053422,0,0
Latvia,Central and Eastern Europe,5.933085918,1.026395798,4.727548599,5.453120708,0.035920747,10.08394718,23955.35547,65.10926056,0.899831951,0.006342728,0.679467142,0.009961903,0.228871495,0.00833922,0.824202657,0.007910839,1,0
Lebanon,Middle East and North Africa,5.198890209,0.1847229,5.11641264,5.057288647,0.045224801,9.494716644,13289.3291,68.71563721,0.782185674,0.008830889,0.61949873,0.010211538,0.329722315,0.009780505,0.884623826,0.00556017,0,0
Lesotho,Sub-Saharan Africa,3.808204889,,,,0.120583616,7.914381981,2736.35498,46.48040009,0.802021265,0.015214481,0.729934275,0.017300712,0.097547829,0.011165456,0.740821719,0.015493051,0,0
Liberia,Sub-Saharan Africa,3.495375872,-0.713324785,4.479018211,3.897390842,0.064847186,6.640143394,765.2047119,52.38557816,0.656341314,0.010148501,0.726524651,0.00979778,0.140305057,0.00722214,0.891234457,0.006100515,0,0
Libya,Middle East and North Africa,5.56573534,,5.186776161,5.647037983,0.061633188,9.560900688,14198.62891,61.38998795,0.857142568,0.008584735,0.791323543,0.009460641,0.245409578,0.009850046,0.673075855,0.016359847,0,0
Lithuania,Central and Eastern Europe,5.951889992,0.659889698,5.036294937,5.739478588,0.043510273,10.24080372,28023.64063,66.51541138,0.92958951,0.005530687,0.668457568,0.010615275,0.139114007,0.007161663,0.934920669,0.005785666,1,0
